latitude in degrees;latitude radians;radius in meters;gc;gnorth
-90;-1.5707963267948966;6378135.0;9.766468858393862;3.898364390080785e-18
-89;-1.5533430342749532;6378135.0;9.766483400978599;0.00055547009083403
-88;-1.53588974175501;6378135.0;9.766527010988918;0.0011102629027733902
-87;-1.5184364492350666;6378135.0;9.766599635214925;0.0016637019853592014
-86;-1.5009831567151235;6378135.0;9.766701185046005;0.0022151125439767777
-85;-1.4835298641951802;6378135.0;9.766831536579529;0.0027638222652105393
-84;-1.4660765716752369;6378135.0;9.766990530772867;0.003309162139121957
-83;-1.4486232791552935;6378135.0;9.767177973638502;0.0038504672774313095
-82;-1.4311699866353502;6378135.0;9.76739363648199;0.004387077726589119
-81;-1.413716694115407;6378135.0;9.767637256182496;0.004918339274730101
-80;-1.3962634015954636;6378135.0;9.767908535515534;0.005443604251510214
-79;-1.3788101090755203;6378135.0;9.768207143517502;0.005962232319836807
-78;-1.361356816555577;6378135.0;9.768532715891562;0.006473591258512444
-77;-1.3439035240356338;6378135.0;9.76888485545438;0.006977057734824969
-76;-1.3264502315156905;6378135.0;9.769263132623111;0.007472018066129237
-75;-1.3089969389957472;6378135.0;9.769667085942073;0.00795786896948043
-74;-1.2915436464758039;6378135.0;9.770096222648418;0.008434018298394512
-73;-1.2740903539558606;6378135.0;9.770550019276115;0.008899885765827889
-72;-1.2566370614359172;6378135.0;9.771027922297456;0.00935490365248654
-71;-1.239183768915974;6378135.0;9.771529348801336;0.009798517499593661
-70;-1.2217304763960306;6378135.0;9.772053687207388;0.010230186785265048
-69;-1.2042771838760873;6378135.0;9.772600298015162;0.01064938558366281
-68;-1.1868238913561442;6378135.0;9.773168514587345;0.011055603206120111
-67;-1.1693705988362009;6378135.0;9.773757643966075;0.011448344823452984
-66;-1.1519173063162575;6378135.0;9.774366967721358;0.011827132068699283
-65;-1.1344640137963142;6378135.0;9.77499574283045;0.012191503619550398
-64;-1.117010721276371;6378135.0;9.775643202587226;0.012541015759767
-63;-1.0995574287564276;6378135.0;9.776308557540291;0.01287524291889733
-62;-1.0821041362364843;6378135.0;9.77699099645875;0.013193778189644135
-61;-1.064650843716541;6378135.0;9.77768968732439;0.013496233822254846
-60;-1.0471975511965976;6378135.0;9.778403778349084;0.013782241695339002
-59;-1.0297442586766545;6378135.0;9.779132399016099;0.014051453762546823
-58;-1.0122909661567112;6378135.0;9.779874661144097;0.014303542474573383
-57;-0.9948376736367679;6378135.0;9.780629659972435;0.014538201175984146
-56;-0.9773843811168246;6378135.0;9.781396475266481;0.0147551444763894
-55;-0.9599310885968813;6378135.0;9.782174172441545;0.014954108595527415
-54;-0.9424777960769379;6378135.0;9.78296180370407;0.015134851681849018
-53;-0.9250245035569946;6378135.0;9.783758409208646;0.015297154104229395
-52;-0.9075712110370514;6378135.0;9.784563018229445;0.01544081871646659
-51;-0.8901179185171081;6378135.0;9.78537465034464;0.015565671094260145
-50;-0.8726646259971648;6378135.0;9.78619231663234;0.015671559744397618
-49;-0.8552113334772214;6378135.0;9.787015020876566;0.01575835628591101
-48;-0.8377580409572782;6378135.0;9.78784176078182;0.01582595560300011
-47;-0.8203047484373349;6378135.0;9.788671529194746;0.015874275969554427
-46;-0.8028514559173916;6378135.0;9.78950331533139;0.015903259145140396
-45;-0.7853981633974483;6378135.0;9.79033610600853;0.015912870442355682
-44;-0.767944870877505;6378135.0;9.791168886877646;0.01590309876548739
-43;-0.7504915783575618;6378135.0;9.792000643659964;0.015873956620445953
-42;-0.7330382858376184;6378135.0;9.792830363381075;0.015825480095981753
-41;-0.7155849933176751;6378135.0;9.79365703560368;0.015757728816226047
-40;-0.6981317007977318;6378135.0;9.794479653656891;0.0156707858646328
-39;-0.6806784082777885;6378135.0;9.795297215860677;0.015564757679432386
-38;-0.6632251157578453;6378135.0;9.79610872674388;0.01543977392074261
-37;-0.6457718232379019;6378135.0;9.796913198254412;0.015295987309516316
-36;-0.6283185307179586;6378135.0;9.797709650960133;0.015133573438538887
-35;-0.6108652381980153;6378135.0;9.798497115238941;0.014952730555722047
-34;-0.5934119456780721;6378135.0;9.799274632456669;0.014753679319973553
-33;-0.5759586531581288;6378135.0;9.800041256131381;0.014536662529955006
-32;-0.5585053606381855;6378135.0;9.800796053082593;0.014301944826071849
-31;-0.5410520681182421;6378135.0;9.801538104564148;0.014049812366071677
-30;-0.5235987755982988;6378135.0;9.802266507379288;0.013780572474657653
-29;-0.5061454830783556;6378135.0;9.802980374976627;0.013494553267554839
-28;-0.4886921905584123;6378135.0;9.803678838525714;0.013192103250496664
-27;-0.47123889803846897;6378135.0;9.804361047970884;0.012873590893628726
-26;-0.4537856055185257;6378135.0;9.805026173062146;0.01253940418185516
-25;-0.4363323129985824;6378135.0;9.80567340436186;0.012189950141681394
-24;-0.4188790204786391;6378135.0;9.806301954226031;0.011825654345133966
-23;-0.4014257279586958;6378135.0;9.806911057759015;0.01144696039136491
-22;-0.3839724354387525;6378135.0;9.80749997374052;0.011054329366573907
-21;-0.3665191429188092;6378135.0;9.808067985523774;0.010648239282906412
-20;-0.3490658503988659;6378135.0;9.808614401903858;0.010229184497010305
-19;-0.33161255787892263;6378135.0;9.809138557955032;0.009797675108956731
-18;-0.3141592653589793;6378135.0;9.809639815836242;0.009354236342253639
-17;-0.29670597283903605;6378135.0;9.81011756556369;0.008899407905701892
-16;-0.2792526803190927;6378135.0;9.810571225749626;0.008433743337864811
-15;-0.2617993877991494;6378135.0;9.811000244306525;0.007957809334941685
-14;-0.24434609527920614;6378135.0;9.811404099115663;0.007472185062854783
-13;-0.22689280275926285;6378135.0;9.81178229865949;0.0069774614543774245
-12;-0.20943951023931956;6378135.0;9.812134382616916;0.006474240492147492
-11;-0.19198621771937624;6378135.0;9.812459922420848;0.005963134478427111
-10;-0.17453292519943295;6378135.0;9.812758521777306;0.005444765292483888
-9;-0.15707963267948966;6378135.0;9.813029817145548;0.004919763636483493
-8;-0.13962634015954636;6378135.0;9.813273478178553;0.004388768270796176
-7;-0.12217304763960307;6378135.0;9.813489208123412;0.003852425239631937
-6;-0.10471975511965978;6378135.0;9.813676744181128;0.0033113870879299353
-5;-0.08726646259971647;6378135.0;9.813835857825357;0.002766312070437789
-4;-0.06981317007977318;6378135.0;9.81396635507981;0.0022178633539251466
-3;-0.05235987755982989;6378135.0;9.814068076753879;0.001666708213483802
-2;-0.03490658503988659;6378135.0;9.814140898636248;0.0011135172238734515
-1;-0.017453292519943295;6378135.0;9.814184731646309;0.0005589634468776468
0;0.0;6378135.0;9.8141995219431;3.721615639353488e-06
1;0.017453292519943295;6378135.0;9.814185250991722;-0.0005515326830511222
2;0.03490658503988659;6378135.0;9.8141419355871;-0.0011061238275405772
3;0.05235987755982989;6378135.0;9.814069627835092;-0.0016593769801931191
4;0.06981317007977318;6378135.0;9.813968415090912;-0.0022106189053892806
5;0.08726646259971647;6378135.0;9.813838419855028;-0.0027591787856679874
6;0.10471975511965978;6378135.0;9.813679799626529;-0.003304389035037294
7;0.12217304763960307;6378135.0;9.813492746714257;-0.003845586108482685
8;0.13962634015954636;6378135.0;9.813277488005815;-0.00438211130670601
9;0.15707963267948966;6378135.0;9.81303428469479;-0.004913311575133113
10;0.17453292519943295;6378135.0;9.812763431966491;-0.005438540296234568
11;0.19198621771937624;6378135.0;9.812465258642531;-0.005957158074211251
12;0.20943951023931956;6378135.0;9.812140126784742;-0.006468533511104814
13;0.22689280275926285;6378135.0;9.8117884312588;-0.00697204397340269
14;0.24434609527920614;6378135.0;9.811410599258139;-0.007467076348217633
15;0.2617993877991494;6378135.0;9.811007089788697;-0.00795302778813358
16;0.2792526803190927;6378135.0;9.810578393115055;-0.00842930644382188
17;0.29670597283903605;6378135.0;9.810125030168685;-0.008895332183546044
18;0.3141592653589793;6378135.0;9.809647551918948;-0.009350537298687333
19;0.33161255787892263;6378135.0;9.809146538707635;-0.009794367194439572
20;0.3490658503988659;6378135.0;9.808622599547787;-0.010226281064837965
21;0.3665191429188092;6378135.0;9.80807637138763;-0.010645752551304465
22;0.3839724354387525;6378135.0;9.807508518340546;-0.011052270383910838
23;0.4014257279586958;6378135.0;9.806919730881912;-0.011445339004580089
24;0.4188790204786391;6378135.0;9.806310725013809;-0.011824479171467452
25;0.4363323129985824;6378135.0;9.805682241398598;-0.012189228543783504
26;0.4537856055185257;6378135.0;9.805035044462342;-0.012539142246344413
27;0.47123889803846897;6378135.0;9.804369921469181;-0.012873793413157248
28;0.4886921905584123;6378135.0;9.803687681567759;-0.013192773709372692
29;0.5061454830783556;6378135.0;9.802989154810811;-0.013495693830961993
30;0.5235987755982988;6378135.0;9.802275191149114;-0.013782183981501054
31;0.5410520681182421;6378135.0;9.801546659400952;-0.014051894325470729
32;0.5585053606381855;6378135.0;9.800804446198415;-0.014304495417509777
33;0.5759586531581288;6378135.0;9.800049454911665;-0.014539678607085046
34;0.5934119456780721;6378135.0;9.79928260455259;-0.014757156418071755
35;0.6108652381980153;6378135.0;9.798504828659077;-0.014956662902766602
36;0.6283185307179586;6378135.0;9.797717074161243;-0.015137953969886007
37;0.6457718232379019;6378135.0;9.79692030023106;-0.01530080768613267
38;0.6632251157578453;6378135.0;9.79611547711667;-0.01544502455094483
39;0.6806784082777885;6378135.0;9.795303584962843;-0.015570427744074371
40;0.6981317007977318;6378135.0;9.794485612619006;-0.01567686334567197
41;0.7155849933176751;6378135.0;9.793662556436267;-0.015764200528590802
42;0.7330382858376184;6378135.0;9.79283541905488;-0.01583233172265294
43;0.7504915783575618;6378135.0;9.792005208183653;-0.01588117275065662
44;0.767944870877505;6378135.0;9.791172935372751;-0.01591066293593636
45;0.7853981633974483;6378135.0;9.790339614781404;-0.015920765181322363
46;0.8028514559173916;6378135.0;9.789506261941986;-0.01591146601938016
47;0.8203047484373349;6378135.0;9.78867389252203;-0.01588277563384639
48;0.8377580409572782;6378135.0;9.787843521085634;-0.01583472785221174
49;0.8552113334772214;6378135.0;9.787016159855781;-0.01576738010943716
50;0.8726646259971648;6378135.0;9.786192817479114;-0.015680813382825117
51;0.8901179185171081;6378135.0;9.78537449779466;-0.015575132098102863
52;0.9075712110370514;6378135.0;9.784562198607993;-0.015450464006810206
53;0.9250245035569946;6378135.0;9.783756910472388;-0.015306960035120096
54;0.9424777960769379;6378135.0;9.782959615478402;-0.015144794104255165
55;0.9599310885968813;6378135.0;9.782171286053448;-0.014964162922699288
56;0.9773843811168246;6378135.0;9.781392883772757;-0.014765285750438105
57;0.9948376736367679;6378135.0;9.78062535818327;-0.014548404135497324
58;1.0122909661567112;6378135.0;9.77986964564186;-0.014313781623082777
59;1.0297442586766545;6378135.0;9.779126668169345;-0.014061703437660202
60;1.0471975511965976;6378135.0;9.77839733232171;-0.013792476138347222
61;1.064650843716541;6378135.0;9.777682528079918;-0.013506427248023416
62;1.0821041362364843;6378135.0;9.776983127759731;-0.013203904856597995
63;1.0995574287564276;6378135.0;9.776299984942824;-0.012885277198907223
64;1.117010721276371;6378135.0;9.775633933430601;-0.012550932207746083
65;1.1344640137963142;6378135.0;9.774985786221961;-0.01220127704257052
66;1.1519173063162575;6378135.0;9.774356334516302;-0.011836737594437657
67;1.1693705988362009;6378135.0;9.773746346743005;-0.011457757967781883
68;1.1868238913561442;6378135.0;9.773156567618637;-0.011064799939654497
69;1.2042771838760873;6378135.0;9.772587717232984;-0.010658342397083605
70;1.2217304763960306;6378135.0;9.772040490165148;-0.01023888075323924
71;1.239183768915974;6378135.0;9.771515554630732;-0.009806926343116147
72;1.2566370614359172;6378135.0;9.771013551661222;-0.009363005799473011
73;1.2740903539558606;6378135.0;9.77053509431661;-0.008907660409792835
74;1.2915436464758039;6378135.0;9.770080766932198;-0.008441445455053615
75;1.3089969389957472;6378135.0;9.769651124400562;-0.007964929531122338
76;1.3264502315156905;6378135.0;9.769246691489595;-0.0074786938536078075
77;1.3439035240356338;6378135.0;9.768867962197422;-0.006983331547029669
78;1.361356816555577;6378135.0;9.768515399145084;-0.006479446919181296
79;1.3788101090755203;6378135.0;9.768189433007672;-0.005967654721583752
80;1.3962634015954636;6378135.0;9.76789046198471;-0.005448579396946287
81;1.413716694115407;6378135.0;9.767618851310363;-0.004922854314565786
82;1.4311699866353502;6378135.0;9.767374932804184;-0.00439112099461359
83;1.4486232791552935;6378135.0;9.767159004462886;-0.0038540283222726715
84;1.4660765716752369;6378135.0;9.766971330093703;-0.003312231752701518
85;1.4835298641951802;6378135.0;9.766812138989787;-0.0027663925078132115
86;1.5009831567151235;6378135.0;9.766681625648033;-0.002217176765868964
87;1.5184364492350666;6378135.0;9.766579949529753;-0.0016652548448948877
88;1.53588974175501;6378135.0;9.76650723486439;-0.0011113003809388898
89;1.5533430342749532;6378135.0;9.766463570496645;-0.0005559895021915399
